alloy_name,Text,Co,Cr,Ni,Al,Ti,Ta,B,C,Cu,Fe,Hf,Mn,Mo,Nb,V,W,Zr,RT_YS,RT_UTS,RT_EL,HT_YS,HT_UTS,HT_EL
CoCrFeMnNi,This Co20.0-Cr20.0-Ni20.0-Fe20 Mn20 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 600 degrees Celsius.,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,362.0,651.0,51.0,241.0,423.0,42.0
CoCrFeNi,This Co25.0-Cr25.0-Ni25.0-Fe25 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 200 degrees Celsius.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,714.0,38.0,215.0,582.0,34.0
CoCrFeNi,This Co25.0-Cr25.0-Ni25.0-Fe25 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 400 degrees Celsius.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,714.0,38.0,195.0,496.0,28.0
CoCrMnNi,This Co25.0-Cr25.0-Ni25.0-Mn25 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 200 degrees Celsius.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,280.0,699.0,43.0,215.0,582.0,36.0
CoCrMnNi,This Co25.0-Cr25.0-Ni25.0-Mn25 high-entropy alloy with FCC was heat treated at Cold rolling+annealing and tested at 400 degrees Celsius.,25.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,280.0,555.0,43.0,186.0,,28.0
Al0.4Hf0.6NbTaTiZr,This Al13.3-Ti13.3-Ta13.3-Hf20 Nb13.3 Zr13.3 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,13.3,13.3,13.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,13.3,0.0,0.0,13.3,1841.0,,10.0,796.0,,50.0
Al0.4Hf0.6NbTaTiZr,This Al13.3-Ti13.3-Ta13.3-Hf20 Nb13.3 Zr13.3 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,13.3,13.3,13.3,0.0,0.0,0.0,0.0,20.0,0.0,0.0,13.3,0.0,0.0,13.3,1841.0,,10.0,298.0,,50.0
Al0.25NbTaTiV,This Al6.2-Ti18.8-Ta18.8-Nb18.75 V18.75 high-entropy alloy with BCC was heat treated at as-cast and tested at room temperature degrees Celsius.,0.0,0.0,0.0,6.25,18.75,18.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,18.75,0.0,0.0,1330.0,,50.0,,,
AlNbTaTiV,This Al20.0-Ti20.0-Ta20.0-Nb20 V20 high-entropy alloy with BCC was heat treated at as-cast and tested at room temperature degrees Celsius.,0.0,0.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,991.0,,50.0,,,
HfNbTaTiZr,This Ti20.0-Ta20.0-Hf20 Nb20 Zr20 high-entropy alloy with BCC was heat treated at as-cast and tested at 600 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,929.0,,50.0,675.0,,50.0
HfNbTaTiZr,This Ti20.0-Ta20.0-Hf20 Nb20 Zr20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,20.0,0.0,0.0,20.0,929.0,,50.0,535.0,,50.0
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 600 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,862.0,,13.0
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,846.0,,17.0
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,842.0,,19.0
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1200 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,735.0,,7.5
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1400 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,656.0,,18.0
MoNbTaVW,This Ta20.0-Mo20 Nb20 V20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1600 degrees Celsius.,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,0.0,1246.0,,1.7,477.0,,13.0
TiNbMoTaW,This Ti20.0-Ta20.0-Nb20 Mo20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,,,,674.0,1618.0,46.6
TiNbMoTaW,This Ti20.0-Ta20.0-Nb20 Mo20 W20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,20.0,0.0,,,,620.0,1426.0,35.5
TiVNbMoTaW,This Ti16.7-Ta16.7-V16.67 Nb16.67 Mo16.67 W16.67 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,0.0,,,,791.3,1180.0,9.4
TiVNbMoTaW,This Ti16.7-Ta16.7-V16.67 Nb16.67 Mo16.67 W16.67 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,16.67,16.67,0.0,,,,752.8,1105.0,23.7
Ti40Al10V10Nb20Mo20,This Al10.0-Ti40.0-V10 Nb20 Mo20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,10.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,10.0,0.0,0.0,,,,520.0,,50.0
Ti35Al15V15Nb20Mo20,This Al15.0-Ti35.0-V15 Nb20 Mo20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,15.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,15.0,0.0,0.0,,,,550.0,,50.0
Ti30Al20V20Nb20Mo10,This Al20.0-Ti30.0-V20 Nb20 Mo10 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,20.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,20.0,0.0,0.0,,,,624.0,,30.0
VCrFeTa0.1W0.1,This Cr32.3-Ta3.2-V32.26 Fe32.26 W3.23 high-entropy alloy with BCC was heat treated at as-cast and tested at 600 degrees Celsius.,0.0,32.26,0.0,0.0,0.0,3.23,0.0,0.0,0.0,32.26,0.0,0.0,0.0,0.0,32.26,3.23,0.0,,,,1234.0,2158.0,28.1
VCrFeTa0.1W0.1,This Cr32.3-Ta3.2-V32.26 Fe32.26 W3.23 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,32.26,0.0,0.0,0.0,3.23,0.0,0.0,0.0,32.26,0.0,0.0,0.0,0.0,32.26,3.23,0.0,,,,1019.0,1289.0,50.0
VCrFeTa0.2W0.2,This Cr30.3-Ta6.1-V30.3 Fe30.3 W6.06 high-entropy alloy with BCC was heat treated at as-cast and tested at 600 degrees Celsius.,0.0,30.3,0.0,0.0,0.0,6.06,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,30.3,6.06,0.0,,,,1657.0,2316.0,22.6
VCrFeTa0.2W0.2,This Cr30.3-Ta6.1-V30.3 Fe30.3 W6.06 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,30.3,0.0,0.0,0.0,6.06,0.0,0.0,0.0,30.3,0.0,0.0,0.0,0.0,30.3,6.06,0.0,,,,1033.0,1260.0,40.6
V35Ti35Fe15Cr10Zr5,This Cr10.0-Ti35.0-V35 Fe15 Zr5 high-entropy alloy with BCC was heat treated at as-cast and tested at 700 degrees Celsius.,0.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,35.0,0.0,5.0,,,,788.1,918.1,3.24
Al10Cr20Mo20Nb20Ti20Zr10,This Cr20.0-Al10.0-Ti20.0-Mo20 Nb20 Zr10 high-entropy alloy with BCC+Laves intermetallic phase was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,20.0,0.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,10.0,,,,1260.0,,5.0
HfMoTaTiZr,This Ti20.0-Ta20.0-Hf20 Mo20 Zr20 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,,,,1045.0,,19.0
HfMoTaTiZr,This Ti20.0-Ta20.0-Hf20 Mo20 Zr20 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,,,,855.0,,30.0
HfMoNbTaTiZr,This Ti16.7-Ta16.7-Hf16.67 Mo16.67 Nb16.67 Zr16.67 high-entropy alloy with BCC was heat treated at as-cast and tested at 800 degrees Celsius.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,,,,1007.0,,23.0
HfMoNbTaTiZr,This Ti16.7-Ta16.7-Hf16.67 Mo16.67 Nb16.67 Zr16.67 high-entropy alloy with BCC was heat treated at as-cast and tested at 1000 degrees Celsius.,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,16.67,0.0,16.67,16.67,0.0,0.0,16.67,,,,814.0,,30.0
Ni43.9Co22.4Fe8.8Al10.7Ti11.7B2.5,This Co22.4-Ni43.9-Al10.7-Ti11.7-Fe8.8 B2.5 high-entropy alloy with FCC+B2 ordered phase was heat treated at as-cast and tested at 700 degrees Celsius.,22.4,0.0,43.9,10.7,11.7,0.0,2.5,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,789.0,,
Al19.3Co15Cr15Ni50.7,This Co15.0-Cr15.0-Ni50.7-Al19.3 high-entropy alloy with FCC+B2 ordered phase was heat treated at as-cast and tested at 850 degrees Celsius.,15.0,15.0,50.7,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,546.0,,
